id,created_at,value
0FVE76DGNAA1SEHP9PKG6ZW73M,2025-04-02T03:55:35Z,63.1
0FVE76ADP5PAN8Y7PV5PWGMAG8,2025-04-02T03:55:25Z,63.3
0FVE767AX0ZBNAQYPSNTFFZZ0Y,2025-04-02T03:55:15Z,63.3
0FVE7647S3ET4PCHPJEBMQTGMX,2025-04-02T03:55:04Z,63.2
0FVE7614PG7P3PK84G3V7HGM63,2025-04-02T03:54:54Z,62.8
0FVE75Y1RT85PKZK1EN9JXPP42,2025-04-02T03:54:44Z,62.7
0FVE75TYREMQB032J3MPR8VR8P,2025-04-02T03:54:34Z,62.6
0FVE75QWXWAS19VGD0M9R25P6D,2025-04-02T03:54:24Z,62.6
0FVE75MRSMV48X5GHMSC9XGKG6,2025-04-02T03:54:14Z,62.8
0FVE75HNSZHMMGM0YX8E2YMDMT,2025-04-02T03:54:04Z,62.9
0FVE75EJQPPBTJZ2TJ2VM5VGY1,2025-04-02T03:53:53Z,62.8
0FVE75BFWFQ2VXN9W9Z0Z7JZT6,2025-04-02T03:53:43Z,62.9
0FVE758CT5ZH3KH2FWK5CEPHX1,2025-04-02T03:53:33Z,62.9
0FVE7559QJ9M5C5GAKT41YCZ14,2025-04-02T03:53:23Z,62.9
0FVE7526Q6ZVHSHHCHM4TMVC7V,2025-04-02T03:53:13Z,62.9
0FVE74Z3PQK3KC7P195KGF4F5E,2025-04-02T03:53:03Z,62.9
0FVE74W1TP9BA5CP1Q4BX12J1Y,2025-04-02T03:52:53Z,62.7
0FVE74RXRJ13V1SM1TWNNX5Q5P,2025-04-02T03:52:43Z,62.7
0FVE74NVRJ6NWGBVYQVW12ASNZ,2025-04-02T03:52:33Z,62.8
0FVE74JRRXM25VJ0S38T39ZEH8,2025-04-02T03:52:22Z,62.9
0FVE74FNPKCWGT3VR94S49QH68,2025-04-02T03:52:12Z,62.8
0FVE74CJSV65CV266RBN1S46AJ,2025-04-02T03:52:02Z,62.9
0FVE749FRBHPQS4EH24AQMTP27,2025-04-02T03:51:52Z,62.7
0FVE746D0ZRYXBPV7PBGXJ8B14,2025-04-02T03:51:42Z,62.7
0FVE7439RY472990Z2870VSMS9,2025-04-02T03:51:32Z,63.2
0FVE7406TRTX2KYGZGM4YFKB12,2025-04-02T03:51:22Z,64.3
0FVE73X3VSA9NYK6PPV2784WWR,2025-04-02T03:51:11Z,64.1
0FVE73T0PNVZQ7FCA4MV87M546,2025-04-02T03:51:01Z,64.0
0FVE73PYTK2B2ZMRYB7KZ6H2GP,2025-04-02T03:50:51Z,63.8
0FVE73KVT0SR1D2XFG7YVEGBZJ,2025-04-02T03:50:41Z,63.9
0FVE73GQR2HKXAPQVYZ53RDV17,2025-04-02T03:50:31Z,64.0
0FVE73DNWXAMG74ZD1B3N7Y2C9,2025-04-02T03:50:21Z,64.0
